# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-07 18:27:40 708659421 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137065  0.164398987 -0.986393924  0.000000000000000000 -30.413812651   0.000000000  30.413812651  0.000000996384672    31.844640  0.000000000000000 
     1     0.001000  0.000137065  0.000137154  0.164442847 -0.986386613  0.000000000000000000 -30.414038076  30.414038076  30.414038076  0.000000997825904    31.795998 30.414038076264340 
     2     0.002000  0.000274219  0.000137244  0.164486759 -0.986379291  0.000000000000000000 -30.414263833  12.652987865  30.414263833  0.000000999270685    31.747378 12.652987865156645 
     3     0.003000  0.000411463  0.000137003  0.164530723 -0.986371959 -0.000000000000000222 -30.414489921  14.510928787  30.414489921  0.000000995891227    31.698781 14.510928786632807 
     4     0.004000  0.000548466  0.000137092  0.164574633 -0.986364634  0.000000000000000000 -30.414715796  16.255184806  30.414715796  0.000000997332647    31.650323 16.255184805756038 
     5     0.005000  0.000685558  0.000137182  0.164618594 -0.986357298  0.000000000000000000 -30.414942003  18.774144829  30.414942003  0.000000998777619    31.601889 18.774144828586874 
     6     0.006000  0.000822740  0.000136940  0.164662608 -0.986349951 -0.000000000000000222 -30.415168543  21.286459657  30.415168543  0.000000995398735    31.553476 21.286459656649743 
     7     0.007000  0.000959680  0.000137030  0.164706567 -0.986342611  0.000000000000000000 -30.415394869  23.548528263  30.415394869  0.000000996840345    31.505203 23.548528263290653 
     8     0.008000  0.001096711  0.000137120  0.164750578 -0.986335261  0.000000000000000000 -30.415621528  26.922575294  30.415621528  0.000000998285509    31.456952 26.922575293888002 
     9     0.009000  0.001233831  0.000137210  0.164794641 -0.986327900  0.000000000000000000 -30.415848521  30.183500097  30.415848521  0.000000999734240    31.408724 30.183500096925108 
    10     0.010000  0.001371041  0.000136968  0.164838756 -0.986320528 -0.000000000000000222 -30.416075849  30.416075849  30.416075849  0.000000996352497    31.360518 30.416075848902750 
