# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-07 18:31:53 812436338 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137062  0.164398987 -0.986393924  0.000000000000000000 -30.413812651   0.000000000  30.413812651  0.000000996343472    31.844640  0.000000000000000 
     1     0.001000  0.000137062  0.000137152  0.164442847 -0.986386613  0.000000000000000000 -30.414038072  30.414038072  30.414038072  0.000000997785270    31.795999 30.414038071601858 
     2     0.002000  0.000274213  0.000137241  0.164486758 -0.986379291  0.000000000000000222 -30.414263823  12.652442764  30.414263823  0.000000999230621    31.747380 12.652442764326505 
     3     0.003000  0.000411455  0.000137013  0.164530720 -0.986371959  0.000000000000000000 -30.414489907  14.510276011  30.414489907  0.000000996039615    31.698784 14.510276011032788 
     4     0.004000  0.000548468  0.000137102  0.164574633 -0.986364633  0.000000000000000000 -30.414715799  16.267059787  30.414715799  0.000000997482015    31.650323 16.267059786526509 
     5     0.005000  0.000685570  0.000137192  0.164618598 -0.986357297  0.000000000000000000 -30.414942023  18.777116217  30.414942023  0.000000998927973    31.601884 18.777116216557697 
     6     0.006000  0.000822762  0.000136964  0.164662615 -0.986349950  0.000000000000000000 -30.415168580  21.290037403  30.415168580  0.000000995736981    31.553468 21.290037402944577 
     7     0.007000  0.000959726  0.000137053  0.164706581 -0.986342609  0.000000000000000000 -30.415394945  23.572098876  30.415394945  0.000000997179986    31.505187 23.572098876350449 
     8     0.008000  0.001096780  0.000137143  0.164750600 -0.986335257 -0.000000000000000222 -30.415621642  26.933103136  30.415621642  0.000000998626553    31.456928 26.933103136401293 
     9     0.009000  0.001233923  0.000136915  0.164794670 -0.986327895  0.000000000000000000 -30.415848674  30.195857062  30.415848674  0.000000995435573    31.408692 30.195857061514815 
    10     0.010000  0.001370838  0.000137005  0.164838691 -0.986320539  0.000000000000000000 -30.416075513  30.416075513  30.416075513  0.000000996879187    31.360589 30.416075512655905 
    11     0.011000  0.001507842  0.000137094  0.164882763 -0.986313173  0.000000000000000222 -30.416302685  30.416302685  30.416302685  0.000000998326365    31.312510 30.416302685348100 
    12     0.012000  0.001644937  0.000137185  0.164926888 -0.986305795  0.000000000000000000 -30.416530193  30.416530193  30.416530193  0.000000999777120    31.264452 30.416530193095113 
    13     0.013000  0.001782121  0.000136956  0.164971065 -0.986298407  0.000000000000000222 -30.416758037  30.416758037  30.416758037  0.000000996582989    31.216417 30.416758036715279 
    14     0.014000  0.001919077  0.000137046  0.165015191 -0.986291025  0.000000000000000000 -30.416985687  30.416985687  30.416985687  0.000000998030790    31.168516 30.416985686521958 
    15     0.015000  0.002056123  0.000137136  0.165059370 -0.986283633  0.000000000000000000 -30.417213672  30.417213672  30.417213672  0.000000999482172    31.120638 30.417213672278706 
    16     0.016000  0.002193259  0.000136907  0.165103602 -0.986276229  0.000000000000000000 -30.417441995  30.417441995  30.417441995  0.000000996288041    31.072781 30.417441994806552 
    17     0.017000  0.002330166  0.000136997  0.165147782 -0.986268833  0.000000000000000000 -30.417670123  30.417670123  30.417670123  0.000000997736468    31.025059 30.417670123077141 
    18     0.018000  0.002467164  0.000137088  0.165192016 -0.986261425  0.000000000000000222 -30.417898588  30.417898588  30.417898588  0.000000999188481    30.977358 30.417898588196270 
    19     0.019000  0.002604251  0.000136859  0.165236301 -0.986254006  0.000000000000000222 -30.418127391  30.418127391  30.418127391  0.000000995994348    30.929680 30.418127390987650 
    20     0.020000  0.002741110  0.000136949  0.165280537 -0.986246594  0.000000000000000000 -30.418355999  30.418355999  30.418355999  0.000000997443405    30.882134 30.418355999077139 
    21     0.021000  0.002878059  0.000137039  0.165324824 -0.986239171  0.000000000000000000 -30.418584945  30.418584945  30.418584945  0.000000998896050    30.834612 30.418584944916848 
    22     0.022000  0.003015098  0.000136810  0.165369165 -0.986231737 -0.000000000000000222 -30.418814229  30.418814229  30.418814229  0.000000995701914    30.787111 30.418814229333208 
    23     0.023000  0.003151908  0.000136900  0.165413454 -0.986224310  0.000000000000000000 -30.419043319  30.419043319  30.419043319  0.000000997151603    30.739743 30.419043318602132 
    24     0.024000  0.003288809  0.000136991  0.165457797 -0.986216871  0.000000000000000000 -30.419272747  30.419272747  30.419272747  0.000000998604885    30.692397 30.419272746526211 
    25     0.025000  0.003425799  0.000136762  0.165502192 -0.986209422  0.000000000000000000 -30.419502514  30.419502514  30.419502514  0.000000995410744    30.645073 30.419502513934585 
    26     0.026000  0.003562561  0.000136852  0.165546536 -0.986201980  0.000000000000000222 -30.419732086  30.419732086  30.419732086  0.000000996861068    30.597882 30.419732085749111 
    27     0.027000  0.003699413  0.000136942  0.165590933 -0.986194526  0.000000000000000000 -30.419961997  30.419961997  30.419961997  0.000000998314989    30.550712 30.419961997126968 
    28     0.028000  0.003836356  0.000137033  0.165635383 -0.986187061 -0.000000000000000222 -30.420192249  30.420192249  30.420192249  0.000000999772519    30.503565 30.420192248900040 
    29     0.029000  0.003973388  0.000136804  0.165679885 -0.986179586  0.000000000000000000 -30.420422842  30.420422842  30.420422842  0.000000996575195    30.456440 30.420422841903051 
    30     0.030000  0.004110193  0.000136894  0.165724337 -0.986172117  0.000000000000000000 -30.420653239  30.420653239  30.420653239  0.000000998029767    30.409446 30.420653238905274 
    31     0.031000  0.004247087  0.000136985  0.165768842 -0.986164637  0.000000000000000000 -30.420883977  30.420883977  30.420883977  0.000000999487952    30.362475 30.420883977218864 
    32     0.032000  0.004384072  0.000136756  0.165813400 -0.986157146  0.000000000000000222 -30.421115058  30.421115058  30.421115058  0.000000996290609    30.315526 30.421115057681309 
    33     0.033000  0.004520828  0.000136846  0.165857907 -0.986149661 -0.000000000000000222 -30.421345942  30.421345942  30.421345942  0.000000997745835    30.268708 30.421345941695126 
